Season,FGA,3PA
2024-25,89.2,37.6
2023-24,88.9,35.1
2022-23,88.3,34.2
2021-22,88.1,35.2
2020-21,88.4,34.6
2019-20,88.8,34.1
2018-19,89.2,32.0
2017-18,86.1,29.0
2016-17,85.4,27.0
2015-16,84.6,24.1
2014-15,83.6,22.4
2013-14,83.0,21.5
2012-13,82.0,20.0
2011-12,81.4,18.4
2010-11,81.2,18.0
2009-10,81.7,18.1
2008-09,80.9,18.1
2007-08,81.5,18.1
2006-07,79.7,16.9
2005-06,79.0,16.0
2004-05,80.3,15.8
2003-04,79.8,14.9
2002-03,80.8,14.7
2001-02,81.3,14.7
2000-01,80.6,13.7
1999-00,82.1,13.7
1998-99,78.2,13.2
1997-98,79.7,12.7
1996-97,79.3,16.8
1995-96,80.2,16.0
1994-95,81.5,15.3
1993-94,84.4,9.9
1992-93,86.0,9.0
1991-92,87.3,7.6
1990-91,87.2,7.1
1989-90,87.2,6.6
1988-89,89.0,6.6
1987-88,87.7,5.0
1986-87,88.8,4.7
1985-86,88.6,3.3
1984-85,89.1,3.1
1983-84,88.4,2.4
1982-83,89.7,2.3
1981-82,88.2,2.3
1980-81,88.4,2.0
1979-80,90.6,2.8
